epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6673,4.63435,16.4011,4.25308,1e-05,0.01481,1e-05,0,5.56276,14.3841,4.1641,0.0032963,0.0032963,0.0032963
2,34.9768,4.46373,13.374,4.23574,2e-05,0.01852,1e-05,1e-05,5.55467,13.538,4.16216,0.00662307,0.00662307,0.00662307
3,49.8999,4.60973,12.054,4.22347,0.0001,0.03981,8e-05,3e-05,5.47741,5.43529,4.35293,0.00994324,0.00994324,0.00994324
4,64.5185,4.49761,9.55909,4.17261,6e-05,0.03611,0.0001,2e-05,5.26166,4.59398,4.24058,0.0099703,0.0099703,0.0099703
5,78.9745,4.35817,6.91001,3.98508,0.00021,0.04444,0.00026,3e-05,4.53692,4.56672,4.36258,0.0099604,0.0099604,0.0099604
6,93.3312,4.12539,5.54814,3.68221,0.52136,0.02542,0.01035,0.00239,4.19542,4.55925,3.15417,0.0099505,0.0099505,0.0099505
7,107.693,3.96579,5.25709,3.51424,0.67616,0.0113,0.0015,0.00036,4.21181,4.75445,2.98058,0.0099406,0.0099406,0.0099406
8,122.063,3.94398,5.14312,3.4539,0.53009,0.0452,0.0265,0.00753,4.21277,4.27427,2.91561,0.0099307,0.0099307,0.0099307
9,136.449,3.85297,5.08596,3.35798,0.8703,0.03107,0.02048,0.00554,4.25889,4.43811,2.9353,0.0099208,0.0099208,0.0099208
10,150.918,3.87757,5.15392,3.24526,0.00086,0.06089,0.00254,0.0005,4.21714,4.50209,2.90074,0.0099109,0.0099109,0.0099109
11,165.402,3.78293,5.10146,3.2236,0.00334,0.17604,0.01335,0.00388,4.18587,4.56321,2.80101,0.009901,0.009901,0.009901
12,179.839,3.86628,5.2125,3.20706,0.00187,0.07112,0.00649,0.00162,4.16491,4.54614,2.74983,0.0098911,0.0098911,0.0098911
13,194.255,3.81107,5.1702,3.14126,0.53946,0.03955,0.0178,0.00476,4.00193,4.46125,2.64203,0.0098812,0.0098812,0.0098812
14,208.672,3.77308,5.15365,3.14264,0.00208,0.11414,0.01935,0.00523,4.11724,4.50922,2.69245,0.0098713,0.0098713,0.0098713
15,223.051,3.76445,5.15831,3.10385,0.00476,0.05011,0.01082,0.00285,4.1055,4.75431,2.77326,0.0098614,0.0098614,0.0098614
16,237.433,3.79908,5.17042,3.0847,0.00028,0.03981,0.00025,0.0001,4.07487,4.71988,2.71108,0.0098515,0.0098515,0.0098515
17,251.843,3.70707,5.13712,3.03509,0.00025,0.07222,0.00024,6e-05,4.0996,4.75743,2.64732,0.0098416,0.0098416,0.0098416
18,266.261,3.70068,5.17578,3.05514,0.00012,0.02593,0.00012,2e-05,3.98089,4.72508,2.62932,0.0098317,0.0098317,0.0098317
19,280.638,3.6662,5.03872,2.9638,0.00034,0.11759,0.00066,0.00013,3.84975,4.6137,2.519,0.0098218,0.0098218,0.0098218
20,295.046,3.65283,5.05162,3.0094,0.0003,0.07051,0.00032,9e-05,3.88808,13.0347,2.55186,0.0098119,0.0098119,0.0098119
21,309.577,3.57857,5.03814,2.92469,0.00016,0.04269,0.00014,3e-05,3.85064,5.64828,2.48628,0.009802,0.009802,0.009802
22,324.126,3.56284,5.07056,2.89725,0.00018,0.05097,0.00021,5e-05,3.91861,5.35548,2.56671,0.0097921,0.0097921,0.0097921
23,338.715,3.51555,5.03173,2.85719,0.00041,0.0825,0.00037,0.0001,3.83086,34.6437,2.49542,0.0097822,0.0097822,0.0097822
24,353.14,3.54288,5.0426,2.82583,0.05597,0.09639,0.03209,0.00659,3.88115,4.53308,2.53747,0.0097723,0.0097723,0.0097723
25,367.593,3.48893,5.07004,2.82319,0.03354,0.1151,0.02238,0.00556,3.76237,4.56902,2.44874,0.0097624,0.0097624,0.0097624
26,382.1,3.47357,5.01849,2.81654,0.00035,0.09815,0.00061,0.00012,3.78298,4.69662,2.42724,0.0097525,0.0097525,0.0097525
27,396.488,3.46858,5.08879,2.78642,0.00034,0.09722,0.0006,0.00013,3.82367,4.64396,2.45203,0.0097426,0.0097426,0.0097426
28,410.997,3.45924,5.05073,2.81753,0.00037,0.13148,0.00055,0.0001,3.79112,4.49744,2.37286,0.0097327,0.0097327,0.0097327
29,425.395,3.44089,5.01456,2.78371,0.00021,0.06574,0.00234,0.00026,3.75323,4.60043,2.36181,0.0097228,0.0097228,0.0097228
30,439.839,3.37172,4.9759,2.73262,0.00021,0.08426,0.00077,0.00016,3.7012,4.59923,2.3407,0.0097129,0.0097129,0.0097129
31,454.213,3.43487,5.01148,2.7089,0.00055,0.12407,0.00116,0.00018,3.71432,4.50501,2.35886,0.009703,0.009703,0.009703
32,468.58,3.39443,5.01403,2.63246,0.00027,0.07685,0.00104,0.0002,3.69085,4.52478,2.32203,0.0096931,0.0096931,0.0096931
33,483.079,3.40941,4.96361,2.67031,0.85965,0.00847,0.00378,0.00067,3.80862,4.82601,2.45165,0.0096832,0.0096832,0.0096832
34,497.456,3.4008,5.04035,2.71801,0.67677,0.0452,0.00903,0.00231,3.71438,5.19994,2.40252,0.0096733,0.0096733,0.0096733
35,511.846,3.29394,4.91832,2.66267,0.001,0.1753,0.0067,0.00147,3.61265,4.40806,2.33547,0.0096634,0.0096634,0.0096634
36,526.192,3.30365,4.90681,2.63077,0.87463,0.02234,0.01828,0.00436,3.6891,4.28789,2.29882,0.0096535,0.0096535,0.0096535
37,540.618,3.3002,4.81832,2.67695,0.84559,0.01412,0.01505,0.00422,3.72393,4.24925,2.36915,0.0096436,0.0096436,0.0096436
