epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.804,4.64569,19.6303,4.24316,0,0,0,0,5.5726,16.433,4.1572,0.0032963,0.0032963,0.0032963
2,62.2893,4.46771,14.5404,4.22536,8e-05,0.01759,5e-05,1e-05,5.49931,301.989,4.54749,0.00662307,0.00662307,0.00662307
3,91.0398,4.65223,13.2771,4.21188,6e-05,0.01389,4e-05,1e-05,5.51343,inf,4.68728,0.00994324,0.00994324,0.00994324
4,119.307,4.55902,11.6724,4.19647,1e-05,0.01481,1e-05,0,nan,nan,nan,0.0099703,0.0099703,0.0099703
5,146.761,4.5226,9.30585,4.1502,2e-05,0.01852,2e-05,1e-05,5.49966,4.23422,4.05118,0.0099604,0.0099604,0.0099604
6,174.641,4.45254,5.97085,3.98446,2e-05,0.01852,2e-05,1e-05,5.10878,4.75431,3.54165,0.0099505,0.0099505,0.0099505
7,201.978,4.30646,5.33474,3.69502,2e-05,0.01852,2e-05,1e-05,4.63554,4.92209,3.32541,0.0099406,0.0099406,0.0099406
8,229.794,4.00673,5.09992,3.41283,0.3891,0.04237,0.03749,0.00847,4.31332,4.55434,2.91038,0.0099307,0.0099307,0.0099307
9,257.786,3.87344,4.94878,3.27602,0.67096,0.02542,0.00166,0.00023,4.19436,5.59653,2.73009,0.0099208,0.0099208,0.0099208
10,285.275,3.90198,4.9302,3.18471,0.86147,0.0565,0.02146,0.00443,4.15152,4.51497,2.73388,0.0099109,0.0099109,0.0099109
11,312.679,3.80388,4.84688,3.17993,0.85908,0.04852,0.02528,0.00592,4.02825,4.09826,2.90085,0.009901,0.009901,0.009901
12,340.167,3.76168,4.78903,3.04576,0.87919,0.03672,0.02539,0.00542,4.04987,4.33482,3.58097,0.0098911,0.0098911,0.0098911
13,368.148,3.7195,4.79147,2.98782,0.72304,0.0226,0.02825,0.00784,3.82588,3.98288,2.52352,0.0098812,0.0098812,0.0098812
14,395.908,3.6405,4.69235,2.97361,0.85286,0.0904,0.01972,0.00498,3.63369,4.73262,2.50859,0.0098713,0.0098713,0.0098713
15,423.72,3.49236,4.6226,2.8994,0.89627,0.08475,0.06292,0.01593,3.58285,3.71942,2.45911,0.0098614,0.0098614,0.0098614
16,451.196,3.45874,4.542,2.89369,0.90595,0.09605,0.0732,0.02429,3.52378,3.72151,2.46079,0.0098515,0.0098515,0.0098515
17,478.711,3.39795,4.60388,2.85945,0.76266,0.07838,0.04406,0.0125,3.67097,3.76294,2.44707,0.0098416,0.0098416,0.0098416
18,506.361,3.34762,4.49883,2.81388,0.91294,0.0904,0.0851,0.02038,3.46697,3.63018,2.4285,0.0098317,0.0098317,0.0098317
19,534.397,3.28195,4.34796,2.79449,0.74968,0.12994,0.10891,0.02796,3.37534,3.61508,2.4091,0.0098218,0.0098218,0.0098218
20,561.917,3.24901,4.36504,2.83576,0.91928,0.10452,0.10479,0.03024,3.36822,3.68546,2.38494,0.0098119,0.0098119,0.0098119
21,590.502,3.18182,4.28444,2.73315,0.91758,0.08757,0.0992,0.03119,3.36796,3.52466,2.38488,0.009802,0.009802,0.009802
22,617.894,3.14112,4.17919,2.69887,0.81043,0.12458,0.12176,0.04367,3.25022,3.56151,2.32435,0.0097921,0.0097921,0.0097921
23,645.262,3.11042,4.12278,2.65881,0.85213,0.0974,0.11353,0.03836,3.27422,3.38056,2.32337,0.0097822,0.0097822,0.0097822
24,672.586,3.11638,4.05682,2.66248,0.68901,0.13895,0.12734,0.04213,3.22924,3.3711,2.30057,0.0097723,0.0097723,0.0097723
25,699.877,3.06198,4.08193,2.65706,0.78429,0.12279,0.11736,0.04338,3.15405,3.31152,2.25088,0.0097624,0.0097624,0.0097624
26,727.126,3.06309,3.9701,2.65399,0.70769,0.15751,0.12952,0.04718,3.13933,3.271,2.24258,0.0097525,0.0097525,0.0097525
27,754.748,2.96375,3.90137,2.59797,0.46621,0.18337,0.12887,0.04195,3.09887,3.2168,2.25707,0.0097426,0.0097426,0.0097426
28,781.992,2.95249,3.89802,2.59804,0.62545,0.16302,0.12368,0.04918,3.07743,3.24786,2.2369,0.0097327,0.0097327,0.0097327
29,809.543,3.00598,3.95286,2.63717,0.67807,0.16375,0.15136,0.05539,3.08136,3.33079,2.19729,0.0097228,0.0097228,0.0097228
30,836.883,2.92879,3.79197,2.57825,0.61323,0.1327,0.11526,0.04259,3.02075,3.25308,2.18284,0.0097129,0.0097129,0.0097129
31,864.259,2.9623,3.75431,2.55683,0.66011,0.16725,0.14362,0.05708,3.04173,3.217,2.1933,0.009703,0.009703,0.009703
32,891.666,2.91984,3.70471,2.53133,0.4971,0.1919,0.14898,0.05068,3.11763,3.44603,2.19249,0.0096931,0.0096931,0.0096931
33,918.914,2.8913,3.7161,2.52295,0.68504,0.15685,0.15139,0.05414,2.96312,3.21261,2.12942,0.0096832,0.0096832,0.0096832
34,946.378,2.91746,3.71701,2.52393,0.82757,0.14888,0.14535,0.0584,2.97013,3.09661,2.16284,0.0096733,0.0096733,0.0096733
35,973.811,2.88944,3.76222,2.51948,0.64035,0.18814,0.16893,0.05854,3.04894,3.06836,2.1796,0.0096634,0.0096634,0.0096634
36,1001.4,2.88831,3.73931,2.52919,0.52903,0.15268,0.16196,0.06001,2.99201,3.03065,2.10772,0.0096535,0.0096535,0.0096535
37,1028.79,2.84347,3.62174,2.52289,0.68218,0.15619,0.168,0.05596,3.06002,3.34297,2.16974,0.0096436,0.0096436,0.0096436
38,1056.16,2.83155,3.55719,2.44835,0.52436,0.15634,0.17539,0.06198,3.01931,3.05715,2.16079,0.0096337,0.0096337,0.0096337
39,1083.49,2.87324,3.6891,2.52019,0.80437,0.16095,0.14786,0.05508,3.0505,3.09969,2.15274,0.0096238,0.0096238,0.0096238
40,1110.75,2.85251,3.59467,2.46473,0.66599,0.15948,0.16258,0.05878,2.94438,3.01216,2.07938,0.0096139,0.0096139,0.0096139
41,1138.21,2.85364,3.61135,2.49728,0.66389,0.17845,0.17821,0.06249,2.97276,3.08079,2.09172,0.009604,0.009604,0.009604
42,1165.91,2.83234,3.58327,2.44337,0.47785,0.19153,0.17286,0.06558,3.01533,3.1836,2.11833,0.0095941,0.0095941,0.0095941
43,1193.99,2.81735,3.58829,2.46587,0.50535,0.17892,0.17455,0.06523,2.97341,2.95835,2.11126,0.0095842,0.0095842,0.0095842
44,1221.32,2.81578,3.54236,2.45718,0.52237,0.1752,0.16603,0.0659,2.95991,3.06227,2.12272,0.0095743,0.0095743,0.0095743
45,1248.65,2.79672,3.56242,2.44933,0.49337,0.19832,0.18573,0.06553,2.92985,3.05316,2.06423,0.0095644,0.0095644,0.0095644
46,1276.03,2.78452,3.44442,2.45196,0.84191,0.16652,0.17075,0.06406,2.93827,3.0078,2.13763,0.0095545,0.0095545,0.0095545
47,1303.4,2.79716,3.49087,2.42899,0.5095,0.18485,0.16836,0.06583,2.85949,3.01161,2.078,0.0095446,0.0095446,0.0095446
48,1330.89,2.78919,3.52193,2.45698,0.49004,0.19309,0.16023,0.05873,2.95831,3.08331,2.14186,0.0095347,0.0095347,0.0095347
49,1358.49,2.77696,3.48953,2.42279,0.69482,0.17854,0.19342,0.07438,2.94729,3.08669,2.08925,0.0095248,0.0095248,0.0095248
50,1386.25,2.78185,3.47912,2.40173,0.50876,0.14607,0.15998,0.06238,2.88131,3.15026,2.08237,0.0095149,0.0095149,0.0095149
51,1413.62,2.72625,3.3285,2.39923,0.51295,0.18474,0.17177,0.06993,2.92442,2.94426,2.11124,0.009505,0.009505,0.009505
52,1441.07,2.75946,3.40009,2.38504,0.45596,0.2133,0.17735,0.06559,2.94398,2.97693,2.08814,0.0094951,0.0094951,0.0094951
53,1468.43,2.73496,3.34002,2.38404,0.48352,0.19938,0.18311,0.07366,2.92122,3.01356,2.07843,0.0094852,0.0094852,0.0094852
54,1495.66,2.70855,3.32172,2.37699,0.655,0.19402,0.19849,0.06819,2.89698,2.98008,2.07382,0.0094753,0.0094753,0.0094753
55,1523.26,2.7175,3.27686,2.35626,0.47682,0.21028,0.17073,0.06737,2.8836,2.91409,2.09548,0.0094654,0.0094654,0.0094654
56,1550.55,2.74865,3.38779,2.4265,0.70252,0.15737,0.17823,0.0704,2.8962,2.96832,2.07532,0.0094555,0.0094555,0.0094555
57,1578.32,2.7425,3.42392,2.3905,0.52318,0.19468,0.17789,0.07403,2.88529,3.17444,2.07959,0.0094456,0.0094456,0.0094456
58,1605.77,2.73219,3.34478,2.36836,0.40924,0.20708,0.2096,0.08096,2.91616,2.94822,2.08746,0.0094357,0.0094357,0.0094357
59,1633.11,2.69714,3.28464,2.38361,0.55061,0.18283,0.19149,0.07344,2.86708,3.01797,2.09266,0.0094258,0.0094258,0.0094258
60,1660.59,2.68457,3.23331,2.30699,0.38424,0.23525,0.20292,0.07573,2.86498,2.87419,2.06957,0.0094159,0.0094159,0.0094159
61,1688.03,2.69625,3.27692,2.36612,0.30682,0.32087,0.19412,0.07369,2.88114,2.91937,2.04462,0.009406,0.009406,0.009406
62,1715.57,2.67374,3.22331,2.32608,0.36216,0.28233,0.20734,0.07663,2.88009,2.89715,2.05916,0.0093961,0.0093961,0.0093961
63,1743.08,2.61566,3.19625,2.32822,0.32964,0.25746,0.2066,0.07427,2.89556,2.85612,2.08954,0.0093862,0.0093862,0.0093862
64,1770.72,2.6454,3.24039,2.3378,0.32414,0.19453,0.19128,0.06343,2.91434,2.92728,2.08962,0.0093763,0.0093763,0.0093763
65,1798.07,2.6763,3.22091,2.31021,0.30033,0.25805,0.20608,0.06856,2.87277,2.90914,2.06255,0.0093664,0.0093664,0.0093664
66,1825.47,2.65756,3.13194,2.31699,0.48978,0.21423,0.20039,0.07753,2.82748,2.90949,2.04509,0.0093565,0.0093565,0.0093565
67,1852.73,2.63227,3.1409,2.31165,0.53629,0.23325,0.22725,0.07676,2.92816,3.02914,2.04777,0.0093466,0.0093466,0.0093466
68,1879.95,2.61748,3.0962,2.26997,0.36925,0.30215,0.21137,0.07776,2.90436,3.04448,2.05496,0.0093367,0.0093367,0.0093367
69,1907.5,2.61267,3.06614,2.25598,0.50403,0.21871,0.18747,0.07634,2.88505,2.85882,2.03956,0.0093268,0.0093268,0.0093268
70,1934.99,2.59747,3.08794,2.26561,0.34604,0.24719,0.18699,0.07131,2.8343,2.89881,2.02689,0.0093169,0.0093169,0.0093169
71,1962.51,2.65354,3.17034,2.25137,0.50989,0.17159,0.20402,0.0796,2.86862,3.27041,2.05751,0.009307,0.009307,0.009307
72,1989.82,2.56889,3.04348,2.20262,0.51001,0.22043,0.18085,0.0667,2.86598,2.92665,2.02801,0.0092971,0.0092971,0.0092971
73,2017.1,2.62468,3.10362,2.23903,0.33596,0.25394,0.1935,0.07179,2.86054,2.98617,2.02765,0.0092872,0.0092872,0.0092872
74,2044.5,2.57946,3.08865,2.22926,0.42953,0.26556,0.23994,0.08028,2.83811,2.90995,2.02576,0.0092773,0.0092773,0.0092773
75,2071.84,2.60179,3.05667,2.21791,0.52969,0.21159,0.19538,0.08046,2.82131,2.81301,2.01529,0.0092674,0.0092674,0.0092674
76,2099.43,2.54185,2.9872,2.1589,0.37021,0.28907,0.22174,0.07842,2.87217,2.8423,2.01193,0.0092575,0.0092575,0.0092575
77,2126.96,2.52762,2.98355,2.19623,0.50217,0.2714,0.22785,0.08322,2.81997,2.84154,1.99175,0.0092476,0.0092476,0.0092476
78,2154.67,2.54245,2.99536,2.19488,0.34246,0.30253,0.21701,0.08259,2.82009,2.80396,1.97119,0.0092377,0.0092377,0.0092377
79,2182.12,2.54347,2.96524,2.15219,0.34531,0.27214,0.20606,0.07752,2.85873,2.9254,1.97865,0.0092278,0.0092278,0.0092278
80,2209.44,2.53712,2.98643,2.17257,0.39072,0.2945,0.21756,0.08103,2.83865,2.95771,2.01241,0.0092179,0.0092179,0.0092179
81,2236.77,2.52582,2.96821,2.17688,0.40006,0.26379,0.21995,0.08598,2.81431,2.8988,1.97366,0.009208,0.009208,0.009208
82,2264.15,2.53266,2.994,2.15496,0.36133,0.30265,0.22983,0.08235,2.83377,3.12609,2.03252,0.0091981,0.0091981,0.0091981
83,2291.69,2.4989,2.97137,2.19377,0.37898,0.35603,0.22359,0.09083,2.78299,2.81988,1.96281,0.0091882,0.0091882,0.0091882
84,2318.99,2.50727,2.94174,2.13607,0.33091,0.23413,0.19969,0.07716,2.89865,2.9903,2.02443,0.0091783,0.0091783,0.0091783
85,2346.7,2.51985,2.93963,2.13887,0.3717,0.29013,0.21212,0.08689,2.82299,2.91492,1.97669,0.0091684,0.0091684,0.0091684
86,2374.15,2.50588,2.99168,2.20169,0.37401,0.33848,0.23754,0.08378,2.78293,2.77997,1.93807,0.0091585,0.0091585,0.0091585
87,2401.5,2.50935,2.92512,2.15702,0.40121,0.30808,0.23291,0.08419,2.85274,2.91059,1.96925,0.0091486,0.0091486,0.0091486
88,2429.11,2.48448,2.94613,2.11843,0.36666,0.34302,0.22716,0.08181,2.80738,2.7966,1.94211,0.0091387,0.0091387,0.0091387
89,2456.43,2.45332,2.90873,2.14589,0.36598,0.32802,0.21918,0.08657,2.81549,2.83079,1.98421,0.0091288,0.0091288,0.0091288
90,2483.99,2.44249,2.85687,2.13321,0.53918,0.2272,0.2266,0.08272,2.77902,2.88117,2.0075,0.0091189,0.0091189,0.0091189
91,2511.49,2.44628,2.83823,2.12403,0.52593,0.32548,0.21161,0.08018,2.80218,2.82542,1.99535,0.009109,0.009109,0.009109
92,2539.14,2.47402,2.89036,2.116,0.56837,0.20651,0.23551,0.0937,2.77762,2.79209,1.95273,0.0090991,0.0090991,0.0090991
93,2566.53,2.52735,2.9329,2.14113,0.37087,0.34905,0.23655,0.0905,2.77809,2.83687,1.93709,0.0090892,0.0090892,0.0090892
94,2593.91,2.4586,2.92754,2.13192,0.39561,0.29121,0.22945,0.08872,2.74414,2.77218,1.95389,0.0090793,0.0090793,0.0090793
